"id","user_id","created_at","state","amount"
25178,103134,"2019-11-02","successful",1573.494012
29373,51191,"2019-11-03","successful",279.2173255
29795,127471,"2019-11-08","successful",116.8132165
29006,118398,"2019-11-13","successful",507.9949934
29608,126397,"2019-11-19","successful",343.0768888
25432,44865,"2019-11-23","successful",279.6158701
31335,64147,"2019-11-23","successful",596.9847411
26435,116778,"2019-11-29","successful",237.1193648
38550,45324,"2019-12-04","successful",394.5917061
43564,45324,"2019-12-06","successful",494.4401357
43879,177687,"2019-12-21","successful",687.4843723
34711,44865,"2019-12-26","successful",753.9393981
48837,234175,"2020-01-01","successful",359.9260247
46211,194947,"2020-01-04","successful",559.1758319
50391,114086,"2020-01-06","successful",166.9520654
49723,261795,"2020-01-12","successful",258.2500389
46214,194947,"2020-01-17","successful",460.6225256
45371,43265,"2020-01-23","successful",709.9926078
49473,186537,"2020-01-23","successful",1856.993508
49502,224045,"2020-01-27","successful",443.2904663
50570,330591,"2020-01-29","successful",490.0861377
46494,52663,"2020-01-31","successful",349.0472541
76208,549329,"2020-02-01","successful",327.9126132
76265,546473,"2020-02-01","successful",450.299011
86566,483783,"2020-02-01","successful",191.3768292
74286,247529,"2020-02-02","successful",478.600913
76199,252895,"2020-02-02","successful",340.9160424
79219,404115,"2020-02-02","successful",688.6272811
87168,252875,"2020-02-02","successful",407.7110294
73480,52254,"2020-02-03","successful",474.9106518
76742,415732,"2020-02-03","successful",408.2912349
79176,470994,"2020-02-03","successful",242.9255678
72575,134081,"2020-02-04","successful",273.3930752
75318,534973,"2020-02-04","successful",756.8085276
75503,549494,"2020-02-04","successful",116.5512604
76325,252895,"2020-02-04","successful",282.4193885
76536,18,"2020-02-04","successful",618.9064169
78045,244355,"2020-02-04","successful",242.9357452
79894,600663,"2020-02-04","successful",216.7009708
86139,367845,"2020-02-04","successful",340.125649
76227,252895,"2020-02-05","successful",292.0143307
76436,566096,"2020-02-05","successful",532.5391199
76610,449093,"2020-02-05","successful",520.3292943
85886,633426,"2020-02-05","successful",173.2354405
85964,203300,"2020-02-05","successful",220.1087689
75529,549329,"2020-02-06","successful",651.6791611
76209,546473,"2020-02-06","successful",282.8920161
86794,222061,"2020-02-06","successful",548.3151177
77098,403165,"2020-02-07","successful",246.9257783
86564,483783,"2020-02-07","successful",360.8806807
75616,106958,"2020-02-08","successful",298.0169456
76148,432634,"2020-02-08","successful",975.6211244
76215,252895,"2020-02-08","canceled",409.2960048
85973,203300,"2020-02-08","successful",579.1342304
86614,390425,"2020-02-08","successful",370.0689111
76167,403165,"2020-02-09","successful",462.7014355
79175,470994,"2020-02-09","successful",1227.164863
80384,403165,"2020-02-09","successful",330.1302533
86615,390425,"2020-02-09","successful",994.2109132
74255,517521,"2020-02-10","successful",487.3094496
75734,261364,"2020-02-10","canceled",448.2332738
77086,81990,"2020-02-10","successful",346.3104026
77552,563038,"2020-02-10","successful",132.3243133
84714,620862,"2020-02-10","successful",423.5306865
85959,276326,"2020-02-10","successful",446.1758371
86138,367845,"2020-02-10","successful",489.49958
86565,483783,"2020-02-10","successful",244.8075613
74179,411810,"2020-02-11","successful",531.6293447
75827,537807,"2020-02-11","successful",323.1266122
78134,53161,"2020-02-11","successful",605.4132315
73436,367845,"2020-02-12","successful",868.6014588
76218,252895,"2020-02-12","successful",221.8328404
76230,252895,"2020-02-12","successful",1820.036406
76234,252895,"2020-02-12","successful",360.018003
77156,582417,"2020-02-12","successful",274.6269025
81854,619240,"2020-02-12","successful",367.8972294
85323,174110,"2020-02-12","successful",1368.735938
86017,18,"2020-02-12","successful",154.2615856
86580,483783,"2020-02-12","successful",364.5093212
72604,502997,"2020-02-13","successful",346.6497558
76563,571873,"2020-02-13","successful",910.6254229
76745,579378,"2020-02-13","successful",880.0185299
77798,35629,"2020-02-13","successful",578.326577
86140,367845,"2020-02-13","successful",1020.911213
72653,106958,"2020-02-14","successful",630.9833722
73507,398604,"2020-02-14","successful",173.5229834
76609,240607,"2020-02-14","successful",464.4223169
84716,427246,"2020-02-14","canceled",692.3505149
85594,299788,"2020-02-14","successful",410.4425775
72577,134081,"2020-02-15","successful",261.2431968
74012,261364,"2020-02-15","successful",186.9890018
79440,116374,"2020-02-15","successful",479.6976611
80383,403165,"2020-02-15","successful",83.65050145
86612,390425,"2020-02-15","successful",813.7081874
76561,178802,"2020-02-16","successful",101.3304784
76614,128389,"2020-02-16","successful",701.0944155
77984,247529,"2020-02-16","successful",197.1158723
78188,570856,"2020-02-16","successful",200.2117301
79349,35860,"2020-02-16","successful",303.470397
79528,404115,"2020-02-16","successful",1048.382624
72427,501780,"2020-02-17","successful",410.4950844
77016,581516,"2020-02-17","successful",406.1579317
77786,35337,"2020-02-17","successful",388.1408513
78432,377824,"2020-02-17","successful",334.3248191
76198,252895,"2020-02-18","successful",621.5143449
77990,247529,"2020-02-18","successful",1082.517757
77999,473175,"2020-02-18","successful",152.5261065
74180,411810,"2020-02-19","successful",496.7943706
74434,247529,"2020-02-20","successful",1250.304452
79218,404115,"2020-02-20","successful",311.6489238
86141,636151,"2020-02-20","successful",578.6144479
72578,134081,"2020-02-21","successful",798.5865649
73057,504197,"2020-02-21","successful",2290.461039
73193,404115,"2020-02-21","successful",123.5197806
74336,518749,"2020-02-21","successful",217.579228
76222,252895,"2020-02-21","successful",563.3863723
72591,134081,"2020-02-22","successful",437.0792967
86137,367845,"2020-02-22","successful",374.4202083
86303,637199,"2020-02-22","successful",404.7587355
76224,252895,"2020-02-23","successful",1771.731372
76229,252895,"2020-02-23","successful",341.3400427
85884,427246,"2020-02-23","successful",682.598593
85966,203300,"2020-02-23","successful",144.571983
74035,512017,"2020-02-24","successful",872.456036
74313,473175,"2020-02-24","successful",170.5229037
76320,403165,"2020-02-24","successful",1181.533258
81424,247529,"2020-02-24","successful",801.2420526
72531,465514,"2020-02-25","successful",1123.961291
74126,247529,"2020-02-25","successful",320.5777536
76449,530143,"2020-02-25","successful",72.73723269
76494,232001,"2020-02-25","successful",494.9976539
77588,265917,"2020-02-25","successful",696.4214752
85757,19732,"2020-02-25","successful",581.9483352
86634,171737,"2020-02-25","successful",1405.452127
76080,208914,"2020-02-26","successful",550.7935066
80470,600690,"2020-02-26","successful",997.3418762
81031,610532,"2020-02-26","successful",877.4584619
84715,563038,"2020-02-26","successful",363.6808843
87182,504487,"2020-02-26","successful",649.1102732
73280,420521,"2020-02-27","successful",379.9282828
75458,547913,"2020-02-27","successful",141.6775342
76349,563038,"2020-02-27","successful",586.5155013
77035,403165,"2020-02-27","successful",437.997912
77101,403165,"2020-02-27","successful",438.5350126
76260,546473,"2020-02-28","canceled",1496.478795
72865,367845,"2020-02-29","successful",687.2374917
73829,402080,"2020-02-29","successful",816.5341458
76223,252895,"2020-02-29","successful",184.9900498
76572,206982,"2020-02-29","successful",301.9576083
85902,633363,"2020-02-29","successful",1252.692304
53936,39059,"2020-03-01","successful",423.5173971
55978,340155,"2020-03-01","successful",814.5397095
58266,281474,"2020-03-01","successful",123.1909077
59934,359095,"2020-03-01","successful",829.919434
62529,173180,"2020-03-01","successful",613.2814435
63609,232154,"2020-03-01","successful",486.6596135
